"stage","cell_id","target","old_H","corrected_H","absolute_old_corrected_difference","maximum_pair_transport_difference","maximum_conservation_error","minimum_positive_marginal_mass","minimum_positive_cross_cdf_gap","exact_cross_cdf_equalities","risk_residual_count","locked_H","locked_absolute_difference"
"pilot","P14-C001","respondent",0.119245350705483,0.119245350705483,0,0,2.22044604925031e-16,0.0949606546830566,0.00181790328940229,0,0,0.119245350705483,3.19189119579733e-16
"pilot","P14-C001","cluster",0.119245350705483,0.119245350705483,0,0,2.22044604925031e-16,0.0949606546830566,0.00181790328940229,0,0,0.119245350705483,3.19189119579733e-16
"pilot","P14-C002","respondent",0.279737009112232,0.279737009112232,0,0,2.22044604925031e-16,0.121436083598591,3.27632582627357e-05,0,0,0.279737009112232,2.22044604925031e-16
"pilot","P14-C002","cluster",0.279737009112232,0.279737009112232,0,0,2.22044604925031e-16,0.121436083598591,3.27632582627357e-05,0,0,0.279737009112232,2.22044604925031e-16
"pilot","P14-C003","respondent",0.452050087355035,0.452050087355035,0,0,0,0.165943094580267,0.191479919808164,40,0,0.452050087355035,1.11022302462516e-16
"pilot","P14-C003","cluster",0.457956271629312,0.457956271629312,0,0,0,0.186848668656574,0.200381812725087,40,0,0.457956271629311,7.7715611723761e-16
"pilot","P14-C004","respondent",0.470076221909827,0.470076221909827,0,0,2.22044604925031e-16,0.0755548480609925,3.69379776609113e-05,0,0,0.470076221909826,9.43689570931383e-16
"pilot","P14-C004","cluster",0.470076221909827,0.470076221909827,0,0,2.22044604925031e-16,0.0755548480609925,3.69379776609113e-05,0,0,0.470076221909826,9.43689570931383e-16
"pilot","P14-C005","respondent",0.116036133120185,0.116036133120185,0,0,2.22044604925031e-16,0.114673147442749,0.114673147442749,40,0,0.116036133120185,9.71445146547012e-17
"pilot","P14-C005","cluster",0.117439750744257,0.117439750744257,0,0,0,0.11461465174688,0.11461465174688,40,0,0.117439750744257,8.32667268468867e-17
"pilot","P14-C006","respondent",0.281082121695237,0.281082121695237,0,0,2.22044604925031e-16,0.13379444844934,0.00198894511940939,0,0,0.281082121695237,1.11022302462516e-16
