exhibit_id,generator,frozen_inputs,output_path,parity_method,expected_digest
fig1_concept,exhibits/01_fig1_concept.R,live:mokken::SWMDK; empirical/aws-raw/P17-T01-draws-v1.csv.gz; empirical/results/v4-phase17-method-summary-v1.csv,outputs/figures/fig1_concept.pdf,geometry + 150dpi render sha256,
fig2_design,exhibits/02_fig2_design.R,confirmatory/v4-phase16-confirmation-design-v1.csv,outputs/figures/fig2_design.pdf,geometry + 150dpi render sha256,
fig3_coverage,exhibits/03_fig3_coverage.R,confirmatory/v4-phase16-confirmation-lane-summary-v1.csv; confirmatory/v4-phase16-confirmation-overall-summary-v1.csv; confirmatory/v4-phase16-confirmation-comparator-summary-v1.csv,outputs/figures/fig3_coverage.pdf,geometry + 150dpi render sha256,
fig4_calibration,exhibits/04_fig4_calibration.R,development/v4-phase15-training-candidate-decisions-v1.csv; confirmatory/v4-phase16-confirmation-subgroup-summary-v1.csv,outputs/figures/fig4_calibration.pdf,geometry + 150dpi render sha256,
fig5_swmdk,exhibits/05_fig5_swmdk.R,live:mokken::SWMDK; empirical/results/v4-phase17-method-summary-v1.csv; empirical/results/v4-phase17-category-profile-v1.csv,outputs/figures/fig5_swmdk.pdf,geometry + 150dpi render sha256,
FigF1_cells,exhibits/08_osm_figures.R,outputs:derived_p16_allcell_summary.csv; confirmatory/v4-phase16-confirmation-design-v1.csv,outputs/figures/FigF1_cells.pdf,geometry + 150dpi render sha256,
FigG1_splithalf,exhibits/08_osm_figures.R,empirical/results/v4-phase17-quantile-stability-v1.csv,outputs/figures/FigG1_splithalf.pdf,geometry + 150dpi render sha256,
tab2_confirmation,exhibits/07_tables.R,confirmatory/v4-phase16-confirmation-lane-summary-v1.csv; confirmatory/v4-phase16-confirmation-overall-summary-v1.csv; confirmatory/v4-phase16-confirmation-comparator-summary-v1.csv,outputs/floats/tab2_confirmation.tex,byte-identical,ed2b66edd8969eea6e990e71ab9bb4cc73cdf74b9ca23a57c0be61ef76d8f643
tab3_swmdk,exhibits/07_tables.R,empirical/results/v4-phase17-method-summary-v1.csv,outputs/floats/tab3_swmdk.tex,byte-identical,914cea70aac0ce91201865470523fc8154e69fd37061777c48abbc121a4a1eea
tabE1_training,exhibits/07_tables.R,development/v4-phase15-training-candidate-decisions-v1.csv,outputs/floats/tabE1_training.tex,byte-identical,9fa2eca22c92d13eab93065691b0074d0b62de205113f4dad896b2b1dcb86a7f
tabE2_validation,exhibits/07_tables.R,validation/v4-phase15-validation-overall-summary-v1.csv,outputs/floats/tabE2_validation.tex,byte-identical,71f01e4917b7a8944fe4bee3da00b181fa5001e871cdb150fe0bf0057be8ac85
tabF1_cells,exhibits/07_tables.R,outputs:derived_p16_allcell_summary.csv; confirmatory/v4-phase16-confirmation-design-v1.csv,outputs/floats/tabF1_cells.tex,byte-identical,98ddc50af58cbed5956394cc2f18cc130fc1461127913afe1c15ea58dddd7016
tabF2_comparators,exhibits/07_tables.R,confirmatory/v4-phase16-confirmation-comparator-summary-v1.csv,outputs/floats/tabF2_comparators.tex,byte-identical,0acb8dc3ae8bd5f5927e6c6d1e769da86febc8ca15ef3efadec9d42f5f937a5a
tabG1_categories,exhibits/07_tables.R,empirical/results/v4-phase17-category-profile-v1.csv,outputs/floats/tabG1_categories.tex,byte-identical,95adececc40c49e92c0ab478246354109d5c676e2fc691b9d63da48cd5560a63
tabH1_claims,exhibits/07_tables.R,phase18/review/v4-phase18-claim-eligibility-v1.csv,outputs/floats/tabH1_claims.tex,byte-identical,9c024030b4616d67156f1230177702a859c6a76d57e4b0c094aed2af6b13d19e
key_numbers,exhibits/01_build_key_numbers.R,confirmatory/v4-phase16-confirmation-cell-summary-v1.csv; confirmatory/v4-phase16-confirmation-lane-summary-v1.csv; confirmatory/v4-phase16-confirmation-overall-summary-v1.csv; confirmatory/v4-phase16-confirmation-comparator-summary-v1.csv; confirmatory/v4-phase16-confirmation-subgroup-summary-v1.csv; confirmatory/v4-phase16-confirmation-design-v1.csv; confirmatory/v4-phase16-confirmation-gate-checks-v1.csv; glob:confirmatory-raw/P16-C*-replications-v1.csv.gz; confirmatory/v4-phase16-confirmation-protocol-v1.yml; design/v4-phase15-development-validation-protocol-v1.yml; development/v4-phase15-training-candidate-decisions-v1.csv; validation/v4-phase15-validation-overall-summary-v1.csv; pilot/v4-phase14-pilot-aggregate-summary-v1.csv; empirical/artifacts/v4-phase17-key-metrics-v1.json; empirical/artifacts/v4-g17-gate-criteria-v1.csv; empirical/results/v4-phase17-method-summary-v1.csv; empirical/results/v4-phase17-icc-summary-v1.csv; empirical/results/v4-phase17-target-knot-diagnostics-v1.csv; phase18/production/v4-step18-2-package-metrics-v1.json; phase18/review/v4-g18a-final-decision-receipt-v1.json,outputs/key_numbers.csv,byte-identical,6a42e7352e455ff060f05fdbec72d51c9327d488aa1d0f335ea46c57403d1c67
