package,tier,source_path,target_path,verdict,reason,bytes_raw,bytes_shipped
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/build-phase14-protocol-lock-v1.R,data-frozen/design/build-phase14-protocol-lock-v1.R,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",4012,4012
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/build-phase15-protocol-lock-v1.R,data-frozen/design/build-phase15-protocol-lock-v1.R,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",4288,4288
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-estimand-and-sampling-contract-v1.yml,data-frozen/design/v4-estimand-and-sampling-contract-v1.yml,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",3031,3031
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-original-source-crosswalk-schedule-v1.json,data-frozen/design/v4-original-source-crosswalk-schedule-v1.json,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",1525,1525
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-phase14-feasibility-protocol-v1.yml,data-frozen/design/v4-phase14-feasibility-protocol-v1.yml,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",3081,3081
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-phase14-pilot-design-v1.csv,data-frozen/design/v4-phase14-pilot-design-v1.csv,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",842,842
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-phase14-protocol-lock-receipt-v1.json,data-frozen/design/v4-phase14-protocol-lock-receipt-v1.json,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",2244,2244
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-phase15-development-validation-protocol-v1.yml,data-frozen/design/v4-phase15-development-validation-protocol-v1.yml,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",4749,4749
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-phase15-protocol-lock-receipt-v1.json,data-frozen/design/v4-phase15-protocol-lock-receipt-v1.json,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",2175,2175
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-phase15-training-design-v1.csv,data-frozen/design/v4-phase15-training-design-v1.csv,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",1553,1553
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-phase15-validation-design-v1.csv,data-frozen/design/v4-phase15-validation-design-v1.csv,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",1319,1319
B,design,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/protocol/v4-weight-law-specification-v1.yml,data-frozen/design/v4-weight-law-specification-v1.yml,ship,"estimand and sampling contract, weight law, Phase 14/15 designs and locks",2447,2447
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C001-replications.csv,data-frozen/pilot/checkpoints/P14-C001-replications.csv,ship,Phase 14 feasibility pilot,115937,115937
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C002-replications.csv,data-frozen/pilot/checkpoints/P14-C002-replications.csv,ship,Phase 14 feasibility pilot,125971,125971
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C003-replications.csv,data-frozen/pilot/checkpoints/P14-C003-replications.csv,ship,Phase 14 feasibility pilot,123533,123533
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C004-replications.csv,data-frozen/pilot/checkpoints/P14-C004-replications.csv,ship,Phase 14 feasibility pilot,127077,127077
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C005-replications.csv,data-frozen/pilot/checkpoints/P14-C005-replications.csv,ship,Phase 14 feasibility pilot,124095,124095
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C006-replications.csv,data-frozen/pilot/checkpoints/P14-C006-replications.csv,ship,Phase 14 feasibility pilot,117071,117071
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C007-replications.csv,data-frozen/pilot/checkpoints/P14-C007-replications.csv,ship,Phase 14 feasibility pilot,127043,127043
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C008-replications.csv,data-frozen/pilot/checkpoints/P14-C008-replications.csv,ship,Phase 14 feasibility pilot,120495,120495
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C009-replications.csv,data-frozen/pilot/checkpoints/P14-C009-replications.csv,ship,Phase 14 feasibility pilot,123914,123914
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C010-replications.csv,data-frozen/pilot/checkpoints/P14-C010-replications.csv,ship,Phase 14 feasibility pilot,118654,118654
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C011-replications.csv,data-frozen/pilot/checkpoints/P14-C011-replications.csv,ship,Phase 14 feasibility pilot,126414,126414
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C012-replications.csv,data-frozen/pilot/checkpoints/P14-C012-replications.csv,ship,Phase 14 feasibility pilot,126695,126695
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C013-replications.csv,data-frozen/pilot/checkpoints/P14-C013-replications.csv,ship,Phase 14 feasibility pilot,124756,124756
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C014-replications.csv,data-frozen/pilot/checkpoints/P14-C014-replications.csv,ship,Phase 14 feasibility pilot,125789,125789
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C015-replications.csv,data-frozen/pilot/checkpoints/P14-C015-replications.csv,ship,Phase 14 feasibility pilot,117232,117232
B,pilot,2025-06-27_Bayesian Mokken Scaling/paper-A-bayesian-scalability/codebase/research/v4/cluster-polytomous/pilot/artifacts/checkpoints/P14-C016-replications.csv,data-frozen/pilot/checkpoints/P14-C016-replications.csv,ship,Phase 14 feasibility pilot,123827,123827
