"key","value","source"
"p16_resp_cov","0.97359375","confirmatory/artifacts"
"p16_resp_mcse","0.00200425172917388","confirmatory/artifacts"
"p16_eqcl_cov","0.97375","confirmatory/artifacts"
"p16_eqcl_mcse","0.00199847353857263","confirmatory/artifacts"
"p16_resp_len","0.087676448804175","confirmatory/artifacts"
"p16_eqcl_len","0.091031308238245","confirmatory/artifacts"
"p16_raw_resp_cov","0.9975","confirmatory/artifacts"
"p16_raw_eqcl_cov","0.99625","confirmatory/artifacts"
"p16_raw_resp_len","0.116679065334847","confirmatory/artifacts"
"p16_sel_raw_ratio","0.751432560353137","confirmatory/artifacts"
"p16_reps_per_target","6400","confirmatory/artifacts"
"p16_lane_exact_knot_equal_cluster_cov","0.955625","confirmatory/artifacts"
"p16_lane_exact_knot_equal_cluster_len","0.0921310082054324","confirmatory/artifacts"
"p16_lane_exact_knot_respondent_cov","0.955","confirmatory/artifacts"
"p16_lane_exact_knot_respondent_len","0.0902026516450918","confirmatory/artifacts"
"p16_lane_near_knot_equal_cluster_cov","0.963125","confirmatory/artifacts"
"p16_lane_near_knot_equal_cluster_len","0.0983152174537541","confirmatory/artifacts"
"p16_lane_near_knot_respondent_cov","0.9675","confirmatory/artifacts"
"p16_lane_near_knot_respondent_len","0.0944299156952766","confirmatory/artifacts"
"p16_lane_regular_equal_cluster_cov","0.97375","confirmatory/artifacts"
"p16_lane_regular_equal_cluster_len","0.091031308238245","confirmatory/artifacts"
"p16_lane_regular_respondent_cov","0.97359375","confirmatory/artifacts"
"p16_lane_regular_respondent_len","0.087676448804175","confirmatory/artifacts"
"p16_cmp_iid_cov","0.91484375","confirmatory/artifacts"
"p16_cmp_iid_len","0.0691218610658303","confirmatory/artifacts"
"p16_cmp_delta_cov","0.9809375","confirmatory/artifacts"
"p16_cmp_delta_len","0.0939391468762844","confirmatory/artifacts"
"p16_cmp_onestage_cov","0.92609375","confirmatory/artifacts"
"p16_cmp_onestage_len","0.0734206215521813","confirmatory/artifacts"
"p16_cmp_freqboot_cov","0.9896875","confirmatory/artifacts"
"p16_cmp_freqboot_len","0.101157472189678","confirmatory/artifacts"
"p16_cmp_within_cov","0.895625","confirmatory/artifacts"
"p16_cmp_within_len","0.0651578620694081","confirmatory/artifacts"
"p16_cmp_iid_exact_knot_cov","0.88","confirmatory/artifacts"
"p16_cmp_delta_exact_knot_cov","0.9725","confirmatory/artifacts"
"p16_cmp_within_exact_knot_cov","0.86125","confirmatory/artifacts"
"p16_cmp_iid_near_knot_cov","0.899375","confirmatory/artifacts"
"p16_cmp_delta_near_knot_cov","0.966875","confirmatory/artifacts"
"p16_cmp_within_near_knot_cov","0.870625","confirmatory/artifacts"
"p16_sel_vs_delta_len_pct","93.3332393572222","confirmatory/artifacts"
"p16_sel_vs_freqboot_len_pct","86.6732302679282","confirmatory/artifacts"
"p16_cells_rows","64","confirmatory/artifacts"
"p16_invalid_max","0","confirmatory/artifacts"
"p16_sel_regcell_cov_min","0.93","confirmatory/artifacts"
"p16_sel_regcell_cov_max","0.995","confirmatory/artifacts"
"p16_allcell_rows","48","confirmatory/aws-raw (derived, cross-checked)"
"p16_sel_allcell_cov_min","0.925","confirmatory/aws-raw (derived, cross-checked)"
"p16_sel_allcell_cov_max","0.995","confirmatory/aws-raw (derived, cross-checked)"
"p16_sel_diagcell_cov_min","0.925","confirmatory/aws-raw (derived, cross-checked)"
"p16_draws","499","phase16 protocol"
"p16_truth_nodes","51","phase16 protocol"
"p15_draws","299","phase15 protocol"
"p15_truth_nodes","41","phase15 protocol"
"p15_threshold_profiles","6","phase15 protocol"
"p16_threshold_profiles","3","phase16 protocol"
"p15_nearknot_offset_training","0.0002","phase15 protocol"
"p15_nearknot_offset_validation","0.00035","phase15 protocol"
"p16_nearknot_offset","0.0005","phase16 protocol"
"p16_min_G_group_cov","0.950625","confirmatory/artifacts"
"p16_min_sizemech_group_cov","0.9675","confirmatory/artifacts"
"p16_gates_total","7","confirmatory/artifacts"
"p16_gates_passed","7","confirmatory/artifacts"
"p16_design_cells","24","confirmatory design"
"p16_design_regular","16","design"
"p16_design_nearknot","4","design"
"p16_design_exactknot","4","design"
"p16_G_min","22","design"
"p16_G_max","80","design"
"p16_icc_min","0.06","design"
