"cell_id","stage","target","H","numerator","denominator","minimum_pair_denominator","minimum_internal_cdf_gap","exact_knot_count","near_knot_count"
"P16-C023","confirmation","respondent",0.401015877000833,8.28875530787098,20.6693943637891,2.06693943637891,0,40,40
"P16-C023","confirmation","cluster",0.401015877000833,8.28875530787098,20.6693943637891,2.06693943637891,0,40,40
