"gamma_cluster","method_id","target","replications","coverage","coverage_mcse","mean_interval_length","median_interval_length","mean_bias","maximum_invalid_fraction","status_ok_fraction"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster",1680,0.958928571428571,0.00484181724582646,0.0993781269682815,0.0993590895207954,-0.000129760610305296,0,1
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent",1680,0.960714285714286,0.0047397977490239,0.0954770414618367,0.0967233043040528,-0.000415690513708636,0,1
-1.25,"V4-P15-HBB-CLUSTER-GN125-v1","equal_cluster",1680,0.970833333333333,0.00410545312607151,0.106024987576556,0.106258443502511,-0.000129760610305296,0,1
-1.25,"V4-P15-HBB-RESP-GN125-v1","respondent",1680,0.971428571428571,0.00406459027109923,0.101864297587634,0.10370531745357,-0.000415690513708636,0,1
-1,"V4-P15-HBB-CLUSTER-GN100-v1","equal_cluster",1680,0.976785714285714,0.00367386058243956,0.112671848184831,0.113164407001882,-0.000129760610305296,0,1
-1,"V4-P15-HBB-RESP-GN100-v1","respondent",1680,0.981547619047619,0.0032834261459177,0.108251553713431,0.11068819853735,-0.000415690513708636,0,1
-0.75,"V4-P15-HBB-CLUSTER-GN075-v1","equal_cluster",1680,0.983928571428571,0.00306799315466716,0.119318708793105,0.119956062146664,-0.000129760610305296,0,1
-0.75,"V4-P15-HBB-RESP-GN075-v1","respondent",1680,0.985714285714286,0.00289515529777777,0.114638809839228,0.117321601050797,-0.000415690513708636,0,1
-0.5,"V4-P15-HBB-CLUSTER-GN050-v1","equal_cluster",1680,0.991071428571429,0.00229503242543961,0.12596556940138,0.126862521249859,-0.000129760610305296,0,1
-0.5,"V4-P15-HBB-RESP-GN050-v1","respondent",1680,0.99047619047619,0.00236958738822914,0.121026065965025,0.124338342687023,-0.000415690513708636,0,1
0,"V4-P15-HBB-CLUSTER-G000-v1","equal_cluster",1680,0.99702380952381,0.00132901072374653,0.139259290617929,0.140851866784971,-0.000129760610305296,0,1
0,"V4-P15-HBB-RESP-G000-v1","respondent",1680,0.995238095238095,0.00167957424894059,0.13380057821662,0.137872483129511,-0.000415690513708636,0,1
