"gamma_cluster","method_id","target","grouping_variable","grouping_value","replications","coverage","coverage_mcse","mean_interval_length","median_interval_length","mean_bias","maximum_invalid_fraction","status_ok_fraction"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","G","20",600,0.938333333333333,0.00982037752913883,0.106557425454865,0.105650329310976,3.56985802394028e-05,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","G","30",600,0.966666666666667,0.0073282810879294,0.108052572881084,0.10635215854324,-0.000735281382604585,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","G","50",480,0.975,0.00712609640686962,0.0795609464690482,0.0793695532790973,0.000420316366887945,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","size_mechanism","balanced",360,0.952777777777778,0.011179381312465,0.090289170031325,0.0892740789035276,-0.000835491269438137,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","size_mechanism","informative_negative",360,0.963888888888889,0.00983292354590096,0.10975797135906,0.112361840366649,0.00110383672496494,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","size_mechanism","informative_positive",480,0.964583333333333,0.00843632107676001,0.101116372629421,0.10379509269184,0.000330757599303706,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","size_mechanism","swmdk_like",480,0.954166666666667,0.00954513825734608,0.0966717157167754,0.0987312487769606,-0.000986178827017345,0,1
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent","G","20",600,0.943333333333333,0.00943888725394008,0.102405897341396,0.10075234987033,0.00018861556484692,0,1
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent","G","30",600,0.966666666666667,0.0073282810879294,0.103947687705219,0.10280983488925,-0.00161939263360243,0,1
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent","G","50",480,0.975,0.00712609640686962,0.07622766380816,0.0754392099130988,0.000333554537964155,0,1
