"gamma_cluster","respondent_method_id","equal_cluster_method_id","respondent_coverage","equal_cluster_coverage","respondent_mean_interval_length","equal_cluster_mean_interval_length","minimum_G_group_coverage","minimum_size_mechanism_group_coverage","maximum_invalid_fraction","positive_multiplier_all_cells","eligible","failed_checks"
0,"V4-P15-HBB-RESP-G000-v1","V4-P15-HBB-CLUSTER-G000-v1",0.995238095238095,0.99702380952381,0.13380057821662,0.139259290617929,0.993333333333333,0.991666666666667,0,TRUE,FALSE,"respondent_coverage;equal_cluster_coverage"
-0.5,"V4-P15-HBB-RESP-GN050-v1","V4-P15-HBB-CLUSTER-GN050-v1",0.99047619047619,0.991071428571429,0.121026065965025,0.12596556940138,0.988333333333333,0.983333333333333,0,TRUE,FALSE,"respondent_coverage;equal_cluster_coverage"
-0.75,"V4-P15-HBB-RESP-GN075-v1","V4-P15-HBB-CLUSTER-GN075-v1",0.985714285714286,0.983928571428571,0.114638809839228,0.119318708793105,0.98,0.977777777777778,0,TRUE,FALSE,"respondent_coverage"
-1,"V4-P15-HBB-RESP-GN100-v1","V4-P15-HBB-CLUSTER-GN100-v1",0.981547619047619,0.976785714285714,0.108251553713431,0.112671848184831,0.968333333333333,0.969444444444444,0,TRUE,FALSE,"respondent_coverage"
-1.25,"V4-P15-HBB-RESP-GN125-v1","V4-P15-HBB-CLUSTER-GN125-v1",0.971428571428571,0.970833333333333,0.101864297587634,0.106024987576556,0.96,0.963888888888889,0,TRUE,TRUE,""
-1.5,"V4-P15-HBB-RESP-GN150-v1","V4-P15-HBB-CLUSTER-GN150-v1",0.960714285714286,0.958928571428571,0.0954770414618367,0.0993781269682815,0.938333333333333,0.952777777777778,0,TRUE,TRUE,""
