cell_id,G,latent_icc,size_mechanism,strength,regularity
P14-C001,20,0.05,balanced,weak,regular
P14-C002,20,0.17,swmdk_like,medium,near_knot
P14-C003,20,0.30,informative,strong,exact_knot
P14-C004,20,0.05,swmdk_like,strong,near_knot
P14-C005,20,0.17,informative,weak,exact_knot
P14-C006,20,0.30,balanced,medium,regular
P14-C007,30,0.05,informative,medium,near_knot
P14-C008,30,0.17,balanced,strong,regular
P14-C009,30,0.30,swmdk_like,weak,exact_knot
P14-C010,30,0.05,balanced,weak,exact_knot
P14-C011,30,0.17,swmdk_like,medium,regular
P14-C012,30,0.30,informative,strong,near_knot
P14-C013,50,0.05,swmdk_like,strong,exact_knot
P14-C014,50,0.17,informative,weak,regular
P14-C015,50,0.30,balanced,medium,near_knot
P14-C016,50,0.05,informative,medium,exact_knot
P14-C017,50,0.17,balanced,strong,near_knot
P14-C018,50,0.30,swmdk_like,weak,regular
