cell_id,G,latent_icc,size_mechanism,discrimination_center,regularity,threshold_profile,informative_slope
P15-T001,20,0.04,balanced,0.60,regular,standard,1.00
P15-T002,20,0.16,swmdk_like,1.10,near_knot,standard,1.00
P15-T003,20,0.32,informative_positive,1.70,exact_knot,standard,1.00
P15-T004,20,0.04,informative_negative,1.70,regular,rare_high,1.20
P15-T005,20,0.16,balanced,0.60,near_knot,rare_low,1.00
P15-T006,20,0.32,swmdk_like,1.10,regular,standard,1.00
P15-T007,30,0.04,informative_positive,1.10,regular,rare_low,0.80
P15-T008,30,0.16,balanced,1.70,regular,standard,1.00
P15-T009,30,0.32,swmdk_like,0.60,exact_knot,rare_high,1.00
P15-T010,30,0.04,informative_negative,0.60,near_knot,standard,1.10
P15-T011,30,0.16,swmdk_like,1.10,regular,rare_high,1.00
P15-T012,30,0.32,informative_positive,1.70,regular,rare_low,1.20
P15-T013,50,0.04,swmdk_like,1.70,near_knot,rare_low,1.00
P15-T014,50,0.16,informative_positive,0.60,regular,standard,0.90
P15-T015,50,0.32,balanced,1.10,regular,rare_high,1.00
P15-T016,50,0.04,informative_negative,1.10,exact_knot,standard,1.20
P15-T017,50,0.16,balanced,1.70,near_knot,standard,1.00
P15-T018,50,0.32,swmdk_like,0.60,regular,rare_low,1.00
P15-T019,20,0.10,informative_positive,0.85,regular,standard,0.70
P15-T020,30,0.25,informative_negative,1.40,regular,rare_high,1.30
P15-T021,50,0.10,balanced,1.40,near_knot,rare_low,1.00
P15-T022,20,0.25,swmdk_like,0.85,regular,rare_low,1.00
P15-T023,30,0.10,informative_positive,1.85,exact_knot,rare_high,0.90
P15-T024,50,0.25,informative_negative,0.85,regular,standard,1.10
