"inventory_class","mutation_policy","reuse_policy","project_relative_path","exists","size_bytes","sha256"
"authority_and_theory","READ_ONLY","CITE_OR_AUDIT_ONLY","log/008_phase08-polytomous-transport-g2.html",TRUE,1204374,"efc808738591bfb68d4e51accaa171111621cb4610b2893f72e1773fa1224276"
"authority_and_theory","READ_ONLY","CITE_OR_AUDIT_ONLY","log/008_phase08-polytomous-transport-g2.qmd",TRUE,11732,"6aeb5f41bab6124de2f1ef306acb5065841e9697a8558785d9b0fd789032ec3c"
"authority_and_theory","READ_ONLY","CITE_OR_AUDIT_ONLY","log/033_phase13-ordinal-extension-feasibility.html",TRUE,1949990,"0ffb02b0dec6390ada1eb95fde47b92fb441571083a8b1641c653c1675448f37"
"authority_and_theory","READ_ONLY","CITE_OR_AUDIT_ONLY","log/033_phase13-ordinal-extension-feasibility.qmd",TRUE,21826,"bf3c0981e99cb642be2551863846c217f2c55fab11d4a214fec9661b02ca0556"
"authority_and_theory","READ_ONLY","CITE_OR_AUDIT_ONLY","log/034_handoff-cluster-polytomous-development.html",TRUE,1957101,"bffe5073360bd21e0f2b8c28fe9c65bb0091b2e6c2b21df1f193677f84463202"
"authority_and_theory","READ_ONLY","CITE_OR_AUDIT_ONLY","log/034_handoff-cluster-polytomous-development.qmd",TRUE,34207,"3b88112cce9fa60493d73474598432b4d4fe672520c94a0f3b2aeac60a75c488"
"authority_and_theory","READ_ONLY","CITE_OR_AUDIT_ONLY","theory/estimand/weight-law-separation.qmd",TRUE,2782,"837fde7b3f3d3e00095c7e4159f2ac1c44a743afb48c556c385d8d6ab38406fe"
"authority_and_theory","READ_ONLY","CITE_OR_AUDIT_ONLY","theory/v3/manuscript-support/minimal-width-calibration-theory-note-v1.qmd",TRUE,31409,"64a3875c6b1a25abd91aba314a064d0847cb7a996e4126207a4d86e979d41a5c"
"frozen_binary_evidence","IMMUTABLE","BENCHMARK_OR_CITATION_ONLY","codebase/research/v3/confirmatory-restart/evaluation-runs/fresh-untouched-test-v1/final/family_metrics-v1.csv",TRUE,3187,"d84d12119dbab5efbd3e803c94592cfa45a67f0e731ee7d3981bd0edadbc2b5f"
"frozen_binary_evidence","IMMUTABLE","BENCHMARK_OR_CITATION_ONLY","codebase/research/v3/confirmatory-restart/evaluation-runs/fresh-untouched-test-v1/final/gate_criteria-v1.csv",TRUE,296,"43ef3bcdfe48b342779d483cb5c88f9b17f9de14d0aa5e9d532e6543f7f56e4c"
