"case_id","residual_class","residual","archival_value","corrected_value","lp_value","archival_corrected_difference","corrected_lp_absolute_difference","lp_maximum_marginal_residual","expected_archival_divergence","observed_archival_divergence","corrected_mass_conserved","pass"
"literal-zero","zero",0,1.9,1.9,1.9,0,6.66133814775094e-16,1.11022302462516e-16,FALSE,FALSE,TRUE,TRUE
"cross-gap-below","below",5e-13,1.899999999998,1.8999999999985,1.899999999998,-5.0004445029117e-13,5.00488539501021e-13,5.0004445029117e-13,TRUE,TRUE,TRUE,TRUE
"cross-gap-at","at",1e-12,1.899999999996,1.899999999997,1.899999999996,-9.99866855977416e-13,1.00008890058234e-12,1.00003338943111e-12,TRUE,TRUE,TRUE,TRUE
"cross-gap-above","above",1.0001e-12,1.899999999997,1.899999999997,1.899999999997,0,2.22044604925031e-16,1.00014441173357e-12,FALSE,FALSE,TRUE,TRUE
"edge-mass-below","below-edge",5e-13,1.999999999998,1.9999999999995,1.999999999998,-1.49991130626859e-12,1.49968926166366e-12,5e-13,TRUE,TRUE,TRUE,TRUE
