cell_id,G,latent_icc,size_mechanism,discrimination_center,regularity,threshold_profile,informative_slope
P16-C001,22,0.06,balanced,0.70,regular,standard_confirm,1.00
P16-C002,22,0.19,swmdk_like,1.20,regular,rare_high_confirm,1.00
P16-C003,22,0.34,informative_positive,1.55,near_knot,standard_confirm,1.05
P16-C004,22,0.12,informative_negative,1.85,regular,rare_low_confirm,0.90
P16-C005,22,0.26,balanced,1.40,exact_knot,standard_confirm,1.00
P16-C006,22,0.38,swmdk_like,0.95,regular,rare_high_confirm,1.00
P16-C007,35,0.06,informative_positive,1.20,regular,rare_low_confirm,0.80
P16-C008,35,0.19,balanced,1.55,regular,standard_confirm,1.00
P16-C009,35,0.34,swmdk_like,0.70,regular,rare_high_confirm,1.00
P16-C010,35,0.12,balanced,0.95,near_knot,rare_low_confirm,1.00
P16-C011,35,0.26,swmdk_like,1.85,exact_knot,standard_confirm,1.00
P16-C012,35,0.38,informative_negative,1.40,regular,rare_high_confirm,1.25
P16-C013,55,0.06,swmdk_like,1.55,regular,rare_low_confirm,1.00
P16-C014,55,0.19,informative_positive,0.70,regular,standard_confirm,0.85
P16-C015,55,0.34,balanced,1.20,regular,rare_high_confirm,1.00
P16-C016,55,0.12,informative_negative,1.40,near_knot,rare_low_confirm,1.15
P16-C017,55,0.26,informative_positive,1.85,exact_knot,standard_confirm,0.95
P16-C018,55,0.38,informative_negative,0.95,regular,rare_high_confirm,1.30
P16-C019,80,0.06,informative_negative,1.85,regular,rare_low_confirm,1.10
P16-C020,80,0.19,balanced,0.95,regular,standard_confirm,1.00
P16-C021,80,0.34,swmdk_like,1.40,near_knot,rare_high_confirm,1.00
P16-C022,80,0.12,informative_positive,1.20,regular,rare_low_confirm,0.75
P16-C023,80,0.26,balanced,1.55,exact_knot,standard_confirm,1.00
P16-C024,80,0.38,swmdk_like,0.70,regular,rare_high_confirm,1.00
