"gamma_cluster","method_id","target","cell_id","replications","coverage","coverage_mcse","mean_interval_length","median_interval_length","mean_bias","maximum_invalid_fraction","status_ok_fraction"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C001",400,0.97,0.00852936105461599,0.0883343049924223,0.0880162978811831,-0.000627092852954484,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C002",400,0.9475,0.0111516534648455,0.11173801677707,0.111146128542077,-0.00401448877427089,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C004",400,0.9525,0.0106352891357029,0.120572026843134,0.119563541392211,-0.00285914813938394,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C006",400,0.9325,0.0125442965127583,0.107872450417333,0.106520886070808,-0.00301871129058834,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C007",400,0.975,0.007806247497998,0.102807598698967,0.102091766801043,-0.000726002664585724,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C008",400,0.9775,0.00741514497498194,0.0966742665382185,0.0961416303754705,-0.000624596613702174,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C009",400,0.985,0.00607762289057161,0.0833809533563368,0.082300196093319,-0.00090537732476347,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C012",400,0.9675,0.00886619281315266,0.117163688790265,0.117094725241234,-0.00192022646815345,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C013",400,0.99,0.0049749371855331,0.0857430151046056,0.0855383048116291,-6.10003704614745e-05,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C014",400,0.985,0.00607762289057161,0.075307886871937,0.0754149001478824,-0.000497011502378088,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C015",400,0.9725,0.00817675822071314,0.0870838921194983,0.0869039486894165,-0.00174403354028949,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C018",400,0.9725,0.00817675822071314,0.0918869417715579,0.090974171654988,-0.00101522806165889,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C019",400,0.9875,0.00555512151082223,0.0811562096518772,0.0809962721949427,0.000247243730837496,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C020",400,0.9825,0.00655624702097167,0.0654513628525411,0.0651935131782243,-0.000720146338570748,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C022",400,0.99,0.0049749371855331,0.0778380937137745,0.0777379881060037,-0.000610686672982126,0,1
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster","P16-C024",400,0.9925,0.00431385848168434,0.0634902233123806,0.0633640025623055,-0.00106379821133656,0,1
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent","P16-C001",400,0.975,0.007806247497998,0.0889214826603534,0.0882426487699221,-0.000627092852954484,0,1
