"regularity","target","method_id","replications","coverage","coverage_mcse","mean_interval_length","median_interval_length","mean_bias","maximum_invalid_fraction","status_ok_fraction"
"exact_knot","equal_cluster","V4-P15-HBB-CLUSTER-GN150-v1",1600,0.955625,0.00514817075371195,0.0921310082054324,0.0927324458576225,0.00346325144224206,0,1
"exact_knot","respondent","V4-P15-HBB-RESP-GN150-v1",1600,0.955,0.00518260311040697,0.0902026516450918,0.0886283912655789,0.00327548198302346,0,1
"near_knot","equal_cluster","V4-P15-HBB-CLUSTER-GN150-v1",1600,0.963125,0.00471137150778571,0.0983152174537541,0.0922160037119762,8.2571621955024e-05,0,1
"near_knot","respondent","V4-P15-HBB-RESP-GN150-v1",1600,0.9675,0.00443309640657633,0.0944299156952766,0.0894123609812807,-0.000111016499467641,0,1
"regular","equal_cluster","V4-P15-HBB-CLUSTER-GN150-v1",6400,0.97375,0.00199847353857263,0.091031308238245,0.0886594541979649,-0.00126001906845264,0,1
"regular","respondent","V4-P15-HBB-RESP-GN150-v1",6400,0.97359375,0.00200425172917388,0.087676448804175,0.0853128289967178,-0.0012664690221289,0,1
