"gamma_cluster","method_id","target","replications","coverage","coverage_mcse","mean_interval_length","median_interval_length","mean_bias","maximum_invalid_fraction","status_ok_fraction","grouping_variable","grouping_value"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster",1200,0.983333333333333,0.00369559297101391,0.0853178597615595,0.0797387493810062,-0.000611233613315313,0,1,"size_mechanism","informative_positive"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster",2000,0.9695,0.00384511053157123,0.0904449317935453,0.0887800767449817,-0.00181267519428415,0,1,"size_mechanism","swmdk_like"
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent",1600,0.97875,0.00360541584806801,0.0844949035021945,0.086647906475723,-0.000928967336379224,0,1,"size_mechanism","balanced"
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent",1600,0.96875,0.00434981590846095,0.0970297041831504,0.0956615616041984,-0.00110294322291171,0,1,"size_mechanism","informative_negative"
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent",1200,0.983333333333333,0.00369559297101391,0.0827947615229234,0.0773241033684033,-0.000716940836035296,0,1,"size_mechanism","informative_positive"
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent",2000,0.9675,0.00396508196636589,0.0856680931113301,0.0831060999118578,-0.00199700792175856,0,1,"size_mechanism","swmdk_like"
0,"V4-P15-HBB-CLUSTER-G000-v1","equal_cluster",1600,0.995,0.00176334199745824,0.111794918562592,0.116686572705028,-0.000928967336379224,0,1,"size_mechanism","balanced"
0,"V4-P15-HBB-CLUSTER-G000-v1","equal_cluster",1600,0.99625,0.00152805789729971,0.136728348236282,0.133775484442125,-0.0013868397345897,0,1,"size_mechanism","informative_negative"
0,"V4-P15-HBB-CLUSTER-G000-v1","equal_cluster",1200,0.9975,0.00144157032433383,0.108550605806843,0.0977795636395676,-0.000611233613315313,0,1,"size_mechanism","informative_positive"
0,"V4-P15-HBB-CLUSTER-G000-v1","equal_cluster",2000,0.9965,0.00132055859392909,0.123666124726328,0.115053285087197,-0.00181267519428415,0,1,"size_mechanism","swmdk_like"
0,"V4-P15-HBB-RESP-G000-v1","respondent",1600,0.996875,0.0013953571171478,0.1119660019428,0.116708201961947,-0.000928967336379224,0,1,"size_mechanism","balanced"
0,"V4-P15-HBB-RESP-G000-v1","respondent",1600,0.996875,0.0013953571171478,0.129301090569011,0.124096741957505,-0.00110294322291171,0,1,"size_mechanism","informative_negative"
0,"V4-P15-HBB-RESP-G000-v1","respondent",1200,0.998333333333333,0.00117752879967927,0.105337632802238,0.0945811626023687,-0.000716940836035296,0,1,"size_mechanism","informative_positive"
0,"V4-P15-HBB-RESP-G000-v1","respondent",2000,0.998,0.000998999499499375,0.117156755380718,0.108545934786325,-0.00199700792175856,0,1,"size_mechanism","swmdk_like"
