"gamma_cluster","method_id","target","replications","coverage","coverage_mcse","mean_interval_length","median_interval_length","mean_bias","maximum_invalid_fraction","status_ok_fraction","grouping_variable","grouping_value"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster",1600,0.950625,0.00541624347305168,0.10712919975749,0.108054492821032,-0.00262986026429941,0,1,"G","22"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster",1600,0.97625,0.00380673231755268,0.100006626845947,0.0992971409929239,-0.0010440507678012,0,1,"G","35"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster",1600,0.98,0.0035,0.0850054339668997,0.0850724115868159,-0.000829318368696984,0,1,"G","55"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster",1600,0.988125,0.00270808792958703,0.0719839723826433,0.0717277315569795,-0.000536846873012986,0,1,"G","80"
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent",1600,0.95125,0.00538362317008722,0.103442531989531,0.10327412096111,-0.00264833716778429,0,1,"G","22"
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent",1600,0.9725,0.00408837911035657,0.0964253890143888,0.0975129526964906,-0.000990662691677605,0,1,"G","35"
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent",1600,0.98125,0.00339102100222043,0.0812794811903212,0.0814531007559251,-0.000839542836303704,0,1,"G","55"
-1.5,"V4-P15-HBB-RESP-GN150-v1","respondent",1600,0.989375,0.00256321445832669,0.0695583930224587,0.0700009715667876,-0.000587333392749999,0,1,"G","80"
0,"V4-P15-HBB-CLUSTER-G000-v1","equal_cluster",1600,0.996875,0.0013953571171478,0.157496867087822,0.15885719423463,-0.00262986026429941,0,1,"G","22"
0,"V4-P15-HBB-CLUSTER-G000-v1","equal_cluster",1600,0.996875,0.0013953571171478,0.133975655404491,0.133025180069438,-0.0010440507678012,0,1,"G","35"
0,"V4-P15-HBB-CLUSTER-G000-v1","equal_cluster",1600,0.994375,0.00186971912579804,0.106557812783883,0.106641771989203,-0.000829318368696984,0,1,"G","55"
0,"V4-P15-HBB-CLUSTER-G000-v1","equal_cluster",1600,0.996875,0.0013953571171478,0.0864885417857211,0.0861806691492983,-0.000536846873012986,0,1,"G","80"
0,"V4-P15-HBB-RESP-G000-v1","respondent",1600,0.99875,0.000883330876568901,0.152076882389332,0.151829291541837,-0.00264833716778429,0,1,"G","22"
0,"V4-P15-HBB-RESP-G000-v1","respondent",1600,0.995625,0.00164997336626232,0.129177986482196,0.13063496050181,-0.000990662691677605,0,1,"G","35"
0,"V4-P15-HBB-RESP-G000-v1","respondent",1600,0.996875,0.0013953571171478,0.101887177509404,0.10210481678614,-0.000839542836303704,0,1,"G","55"
0,"V4-P15-HBB-RESP-G000-v1","respondent",1600,0.99875,0.000883330876568901,0.0835742149584551,0.0841059718434626,-0.000587333392749999,0,1,"G","80"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster",1600,0.975625,0.00385526096514555,0.08438595662567,0.0868969914108761,-0.000928967336379224,0,1,"size_mechanism","balanced"
-1.5,"V4-P15-HBB-CLUSTER-GN150-v1","equal_cluster",1600,0.97,0.004264680527308,0.102694716764209,0.102659747821097,-0.0013868397345897,0,1,"size_mechanism","informative_negative"
