"task_id","batch_id","seed","first_draw_id","last_draw_id","draws","defined_draws","invalid_fraction","H_digest_sha256"
"P17-T06",1,2026135702,1,2000,2000,2000,0,"cc7197324c26572125a2edd139fc19abf1c8a95bee6657a861c42ad213ecafc7"
"P17-T06",2,2026135703,2001,4000,2000,2000,0,"cc3d8ad47ef3aa450b3fbb6b869061db17bd8aec44afee06eefda2a0b3a164af"
"P17-T06",3,2026135704,4001,6000,2000,2000,0,"f8aaf06bd66dffb8302ef942aa7a4cf7bdbb17daa8f831dacee17754bcdf8a25"
"P17-T06",4,2026135705,6001,8000,2000,2000,0,"547ac50398e0126b4ce5230d2ad4670048e1f4e6fef5c5e0cd3fe7759aa562dc"
"P17-T06",5,2026135706,8001,10000,2000,2000,0,"4c6f50c949f27eb17d331796c685b0750c57807e97b9e6c5ca6f6495833ddf96"
"P17-T06",6,2026135707,10001,12000,2000,2000,0,"55e88644745fe6ab6481c5dff4bd374ee6d8d101e41bfd8c7eee92b40a41894e"
"P17-T06",7,2026135708,12001,14000,2000,2000,0,"60f2a4e17bff0b758fe601693d5c1f70bbb29e95abe3ac3b4e9f276bab528d3a"
"P17-T06",8,2026135709,14001,16000,2000,2000,0,"25ddf4c59b88a52c31fe9fee1ab0e59c60077c6b7d034936f0879de00ab648bd"
"P17-T06",9,2026135710,16001,18000,2000,2000,0,"82209a5441f2b9fdaa78b67021cf5ba73e8bbd5074de6610abfe255a85305638"
"P17-T06",10,2026135711,18001,20000,2000,2000,0,"d18494a2b0c933dadee9b012635b94efdd7bfe8125778b36a1e4f8725cdcc05a"
"P17-T06",11,2026135712,20001,22000,2000,2000,0,"45fb39f3936da88bd78d175f239c83b50813dd00de0bc54fd1fa9b7481ba8de2"
"P17-T06",12,2026135713,22001,24000,2000,2000,0,"726b0789f02505c7341109227b904168630fd59eca765e42e3e1f26ea4af1d0b"
"P17-T06",13,2026135714,24001,26000,2000,2000,0,"43e11e7d5cb5cdea52220f9fa467f24c248f7021d1963a1bf1e97a931532617a"
"P17-T06",14,2026135715,26001,28000,2000,2000,0,"2762ff93d44c2ed183c74f083fe803183b576b705fd1f52779a4ee9161d860d9"
"P17-T06",15,2026135716,28001,30000,2000,2000,0,"079d31fe7528a13f087b31c5d7afd32c72674b2af2f7866aa5049c7c48d7865b"
"P17-T06",16,2026135717,30001,32000,2000,2000,0,"18807542c0fcad079aa33bdfc02b359b72d22754f29aa7e71f214a6418971a51"
"P17-T06",17,2026135718,32001,34000,2000,2000,0,"b1f9799982bc8a7aef4bbf0c1cbbc44c84183dbc728cc4fc76dc69cd79cbb238"
"P17-T06",18,2026135719,34001,36000,2000,2000,0,"d87b717eba5408c5566e393195c1ca44c8fd4894ff7980bf946bfe095a156302"
"P17-T06",19,2026135720,36001,38000,2000,2000,0,"de9515e640a58cba19e0825486cef8840553b23b3620bd69ed9a1943babed600"
"P17-T06",20,2026135721,38001,40000,2000,2000,0,"a27164c50bf4b593801ae1f32b9d2544fff8039bd7b42a17a24080466b0cb39d"
"P17-T06",21,2026135722,40001,42000,2000,2000,0,"8fad772d946d8d52823dd486de67af0fcc76fc1b64d1557a11199d13daea0e78"
"P17-T06",22,2026135723,42001,44000,2000,2000,0,"852526b9ed5f370111fdb39f4d44aecf0717afea57e7bc28bc48a8d40e1c28b0"
"P17-T06",23,2026135724,44001,46000,2000,2000,0,"d459975ad8f139ac44a8658e396dc5b96262dc96d40525295889a2ee0e97f3fb"
"P17-T06",24,2026135725,46001,48000,2000,2000,0,"5ea21204956bbb79071ca5f3c035cb18cbe0d3c70d5fb1045e80aa44f6432260"
"P17-T06",25,2026135726,48001,50000,2000,2000,0,"39b429883455e720a2a2c9660bd92a394fea02b083fb841fab5c38d2e8c251b2"
"P17-T06",26,2026135727,50001,52000,2000,2000,0,"ffa0debe6ed4630478deae1163a5e4017b34ddf1b353e2ba08b002a877728305"
"P17-T06",27,2026135728,52001,54000,2000,2000,0,"b0d43ef6513cad5e056b031d6b2072a55f86f694e30d423bc97149c104273444"
"P17-T06",28,2026135729,54001,56000,2000,2000,0,"48321b8d24ee202a40e700c435647d1a99262549b9198bd1eb51301c0c4e10a5"
"P17-T06",29,2026135730,56001,58000,2000,2000,0,"daaa8e87c63644f9026a638940e898abad3346a4e393474520ca1bc052d81346"
"P17-T06",30,2026135731,58001,60000,2000,2000,0,"fed9106fc0612af5c62b83d6551eb29951c00c6197f3720fdb373d87e8568e92"
"P17-T06",31,2026135732,60001,62000,2000,2000,0,"632633efaf73c7281cbe279d7af609a156932f9b94cdd69f02073d12bfbd392c"
"P17-T06",32,2026135733,62001,64000,2000,2000,0,"1bdec3f4d1b3822476f6e30a2420becbd67f2ffb90cc89dbc2f437094d4134f1"
"P17-T06",33,2026135734,64001,66000,2000,2000,0,"25092935dfbf9763a7bd9b057ea976556c5315cb23d13936ca8128eb755cd002"
