"task_id","batch_id","seed","first_draw_id","last_draw_id","draws","defined_draws","invalid_fraction","H_digest_sha256"
"P17-T04",1,2026115702,1,2000,2000,2000,0,"8e718e132dbe4f36673b627125f8659972c2f8ee5193766a5ebdb4e59130c4a2"
"P17-T04",2,2026115703,2001,4000,2000,2000,0,"f16a0b7bbb610f954c03cee1bba7d61f55b74e8804dad2dc5c9aa5a06a51b86e"
"P17-T04",3,2026115704,4001,6000,2000,2000,0,"177a4248f95e48f1e1e0b0f4c62f99440fe6e0b32139d2cf78367776046e5075"
"P17-T04",4,2026115705,6001,8000,2000,2000,0,"28ec1c36eee22637db6acdf5e4a35660844e745a45d3f8b3e8158cd75dd3d4e8"
"P17-T04",5,2026115706,8001,10000,2000,2000,0,"95d1fe629dac7fef40560f28e2caa8ef92addf4b5c8607a364c577f8fae290ab"
"P17-T04",6,2026115707,10001,12000,2000,2000,0,"54e6c877640e0294aa770111c519a4b8cb0db7ad7fdd0239243a09511f701cbd"
"P17-T04",7,2026115708,12001,14000,2000,2000,0,"b4e8a91eee01893f41e90df4ab40953af8a4f7a8557f4f78283c46b8cf910339"
"P17-T04",8,2026115709,14001,16000,2000,2000,0,"bbe7e1fc8a8d882dbbdadb68bdf34c48ea99662aead33bf8ba3a421bdb8531d5"
"P17-T04",9,2026115710,16001,18000,2000,2000,0,"e63e5b57340ca7864c9f836ca5456cbfbdfbc889f87a02d990f988dbab163659"
"P17-T04",10,2026115711,18001,20000,2000,2000,0,"481338bb608ba9969e26988f141f5b74066b10330e1f362e7fdbc00726ccbf63"
"P17-T04",11,2026115712,20001,22000,2000,2000,0,"422ac8cfa2039213b870bf17652c4d75c5dca9ba9e44e7433d9cc3205ae306c6"
"P17-T04",12,2026115713,22001,24000,2000,2000,0,"d98893fe16516631f9a634b01fa2bff47e7cbccab9bc75f91a9f8ca662f69ad6"
"P17-T04",13,2026115714,24001,26000,2000,2000,0,"979d4db6453f5a6f49684ef257db8c13c3874d3fb4f5767ddc440b040e2e5d65"
"P17-T04",14,2026115715,26001,28000,2000,2000,0,"ba5bbd47859aade884f52527baa4fa394d08a2c3f69780f734157dbfbcaf82be"
"P17-T04",15,2026115716,28001,30000,2000,2000,0,"0d0a404e7b487fa9e62c40ceb1e3e001592579ff7e9a7dbce4e648994a61366e"
"P17-T04",16,2026115717,30001,32000,2000,2000,0,"87ac01a5a2e3371aaf0d6606691764ccdf5e0ca29248c741ef1cc689bfe354a6"
"P17-T04",17,2026115718,32001,34000,2000,2000,0,"419d73b55b249ec23aa142a6f38b068c66fb5b6c6ec4b7ef743cb0ff3292ed5a"
"P17-T04",18,2026115719,34001,36000,2000,2000,0,"984254e98643d15d2b7c28c90ec68f70bdf801be91d1446adc04806f561f2f63"
"P17-T04",19,2026115720,36001,38000,2000,2000,0,"9fb29b94e5d98dce726052fa649049080e256af45fdab793238a638933f015b1"
"P17-T04",20,2026115721,38001,40000,2000,2000,0,"383ee2dd7eaf98a0294ac814b8285c2d5ab0ea97066cf92956745dc6f89a7ed5"
"P17-T04",21,2026115722,40001,42000,2000,2000,0,"776bdc7dfee08d5792a8eb791ba8776098635928ff97e51de55c20e3a5772540"
"P17-T04",22,2026115723,42001,44000,2000,2000,0,"f5d76f1287185f3991e33371ed0b597f1c998821179a833ddd970c882b5f737d"
"P17-T04",23,2026115724,44001,46000,2000,2000,0,"ee32a0844e34fb43152252b451daf14ff7d84783b34935618e736a29ac0ce167"
"P17-T04",24,2026115725,46001,48000,2000,2000,0,"68750d1ed893545bc2404928faa43a665b5f270444cdcf38b456d7adcb2ef0be"
"P17-T04",25,2026115726,48001,50000,2000,2000,0,"d3a2bc21a225c862b65bca9fb97ecb7cfdec708d33ff0bf63d0a9ed6debddb47"
"P17-T04",26,2026115727,50001,52000,2000,2000,0,"214534cbcb4d44d9811021b670198c8cd154c18f70cbb5991f00f0531c2ccb7b"
"P17-T04",27,2026115728,52001,54000,2000,2000,0,"7aae9e9eb680df3a13be70009dac1f1b3d1a3e8f96127f491b3c88f4f913bf33"
"P17-T04",28,2026115729,54001,56000,2000,2000,0,"2187d4791622701c0b6a798a7e3ba0dab82d8817f16c855ef41433c290993601"
"P17-T04",29,2026115730,56001,58000,2000,2000,0,"bc5a270f155038869018b2be8cebd2f5ba68984dbc027334096c267e1532df3b"
"P17-T04",30,2026115731,58001,60000,2000,2000,0,"b8d3e0461fcbbeedcc1ed52d1ffc5280aabeb0f24b46fbeb0c4604ae1ab9b2ca"
"P17-T04",31,2026115732,60001,62000,2000,2000,0,"3e6d004b416abffd1319cc1754e75820448109be176524a5c395b8db05ab8ec2"
"P17-T04",32,2026115733,62001,64000,2000,2000,0,"7097dc9f957d0247c2899e245cc6ca7ae1fd511b0237a3006bb934524ff08343"
"P17-T04",33,2026115734,64001,66000,2000,2000,0,"8a04024e63ec3e54df41ae6d6f8785f407e654f31edddf86e970ce691098a146"
"P17-T04",34,2026115735,66001,68000,2000,2000,0,"e993f6cc0d0b7bce1836c9959c304673361adbdf39210b7674eeee42d125aec4"
"P17-T04",35,2026115736,68001,70000,2000,2000,0,"a9681fec4518c993c8f48f503c34c4818ca715e720ed93070afdaf5f45331623"
"P17-T04",36,2026115737,70001,72000,2000,2000,0,"0b851a7bcafe10b8433a9eeb00d1976f422697f58d82a4b249c4688879c8aeb3"
"P17-T04",37,2026115738,72001,74000,2000,2000,0,"78c52f7a344c43e6e87db5b5a9d1a0f39f27a58d68c963f1e22c5309a7749b02"
"P17-T04",38,2026115739,74001,76000,2000,2000,0,"5275c0350e5afd83527bdf9df150648b9046651e4c682d6440109df5d4fb368b"
"P17-T04",39,2026115740,76001,78000,2000,2000,0,"d1b223a9ff701a7f4f780e799f5929c83eac5b466225e5e7e1f2d65e0069eb7b"
"P17-T04",40,2026115741,78001,80000,2000,2000,0,"34e95233d9e72f1a44496118c5efca495ae17e18faeed466405d47ebe6babf9d"
"P17-T04",41,2026115742,80001,82000,2000,2000,0,"c3460ef3bcae9fcaeef8ab3a8f221acbf883ebe0a8acd5d57c4af56354d9de35"
"P17-T04",42,2026115743,82001,84000,2000,2000,0,"11d2b2ff8a61b2517a423a1d41fc543873c4c1bad7a57e366fe7b547c7db8a73"
"P17-T04",43,2026115744,84001,86000,2000,2000,0,"4fb7695071d3e1f477b508544bbabed44bf43bf1bc4c80c0b8e29e351099c3b3"
"P17-T04",44,2026115745,86001,88000,2000,2000,0,"f956a7541796d2359c88cf9de2e489a685f439ee28cfccfe932accc714346bf7"
"P17-T04",45,2026115746,88001,90000,2000,2000,0,"28116fe331a88ec344418576b4d651af552f6b8b511f645dc00a243300d68764"
"P17-T04",46,2026115747,90001,92000,2000,2000,0,"7c31d4d203c5bc751260b19b31e261da399aed7fb33e8b337500d99930bac319"
"P17-T04",47,2026115748,92001,94000,2000,2000,0,"e61d706ee37af4a63a061581ad15ea9bc9265ada6caa60be574b54be757de1e7"
"P17-T04",48,2026115749,94001,96000,2000,2000,0,"665257be6a3c96403286d74bc2e015f40d54a2b910477282e7a728c79c4d84f3"
"P17-T04",49,2026115750,96001,98000,2000,2000,0,"005701a79b5064c06eb894a48a78ff079a75f1cd3936b59fc8acd063a1969a88"
"P17-T04",50,2026115751,98001,99999,1999,1999,0,"f61ae6d31e8a2148562f7afaf26b20ff187d25db175edfb6bde8cd0cef9ffff0"
