"task_id","batch_id","seed","first_draw_id","last_draw_id","draws","defined_draws","invalid_fraction","H_digest_sha256"
"P17-T02",1,2026095702,1,2000,2000,2000,0,"436f05294192fd1a63a8b87ac117eb2fe125429424dbc8fcc008f588364fc73a"
"P17-T02",2,2026095703,2001,4000,2000,2000,0,"8de69400b6749472083f269ea12cc10957d9fa93d84640dae46e708990f8eeed"
"P17-T02",3,2026095704,4001,6000,2000,2000,0,"9395b8f92601e08862690a418427e5ca33fb8862582e6d373a24781df45a2c4d"
"P17-T02",4,2026095705,6001,8000,2000,2000,0,"6b485ac677464db71e6963f1757b4f85262cbdd98904fe74a5dc9aff67220eb4"
"P17-T02",5,2026095706,8001,10000,2000,2000,0,"e7a246140122c1c58b1e7dd4a66246f2f93d01b9c46afee091d8b6da68b0093d"
"P17-T02",6,2026095707,10001,12000,2000,2000,0,"826cc7f60ef30f280b6a3f8b4fecded54b99b76688f605bd2bcc21b7d8418fa4"
"P17-T02",7,2026095708,12001,14000,2000,2000,0,"d1f7a1e443fc7d23ebac762d9058a721d1df8bf2c8f5fb3811ac7e3c783b7cc6"
"P17-T02",8,2026095709,14001,16000,2000,2000,0,"59062c2f77c79fe89d43e4daf4aab3fc5f5078aa653ceae55452cffa908d3181"
"P17-T02",9,2026095710,16001,18000,2000,2000,0,"2e3465f7608d0ae4bda7045f5506903c1c9e376ad37c719c6f3c25ae06d0cf39"
"P17-T02",10,2026095711,18001,20000,2000,2000,0,"383458e0471eef51725f7886f4fdfa1784cb1ffe34d5e6e8252f20596ad65d50"
"P17-T02",11,2026095712,20001,22000,2000,2000,0,"fda4b58a9d966936ce2117a81f8919b9f3c3677ae2383fe70feacf9eec28fbcd"
"P17-T02",12,2026095713,22001,24000,2000,2000,0,"6a7fcd510a7ac6e0326e6ddff114d0b1a163440471d94fb4aee0a7c91f891c48"
"P17-T02",13,2026095714,24001,26000,2000,2000,0,"8f534225a8a0250877f050acbdee54326c214aa9830b35369383bcffb1fdc2c8"
"P17-T02",14,2026095715,26001,28000,2000,2000,0,"e24010a18150fb48daa2ff201aed6a1373286d0b31e903fa7a4c8f6a103abbee"
"P17-T02",15,2026095716,28001,30000,2000,2000,0,"ff3919f5a51bbcf07166806e1c1639d8759a7d6282983986ad6bcddbf7a07d9d"
"P17-T02",16,2026095717,30001,32000,2000,2000,0,"352f809251b76664a1a16f1cca854c052618f3f571fb341f3fbadd8fffa289d4"
"P17-T02",17,2026095718,32001,34000,2000,2000,0,"f74b5c88d220112c5086bb32884e533f1a4bfecdb49840582adaa233af018d54"
"P17-T02",18,2026095719,34001,36000,2000,2000,0,"83253dcc378f591748047d20078b249977ab9ed2f11a4d79097b4c2c86905c8a"
"P17-T02",19,2026095720,36001,38000,2000,2000,0,"3335b6285569d580ee3bce2aaa43c0259edf0a5fa68e652083b55eeff67e5541"
"P17-T02",20,2026095721,38001,40000,2000,2000,0,"fc5a65e3b3c6e827dafcba09906115c1d96d5c977e3bce2afc2ab800ad36fff8"
"P17-T02",21,2026095722,40001,42000,2000,2000,0,"4543cda796cbf5ce248afc787996b4092e4690ed14f920a62ff48947a4c50b5f"
"P17-T02",22,2026095723,42001,44000,2000,2000,0,"7d33ed5c62e203c4d16e256d1dc875d7c27c19e3ffab0320336703dce2762095"
"P17-T02",23,2026095724,44001,46000,2000,2000,0,"324a356583a678d373541f5cfddca2955efacbecc352e14761447de384f895e7"
"P17-T02",24,2026095725,46001,48000,2000,2000,0,"d9f3e6dc451fd91755ff5923d2c0539d20b3dc7d58cb7e42314680ec3f7c293f"
"P17-T02",25,2026095726,48001,50000,2000,2000,0,"73c4644ce6b5b3acf87c89f5900202cfdf14577806b945d26acf1ff923ba2c8b"
"P17-T02",26,2026095727,50001,52000,2000,2000,0,"f476f8b3277c4f428fcf9e82e2f660cfd3697919ce9731e9d5e08cdfa67fdda9"
"P17-T02",27,2026095728,52001,54000,2000,2000,0,"50546caf57fe7ee0dad97b3263b89d8cd8b3641216d51bf92d94b29efb3449de"
"P17-T02",28,2026095729,54001,56000,2000,2000,0,"417100878faa5ae71d7345e135f7ba1873cdd759efdee518666ebc0a6a15f3ee"
"P17-T02",29,2026095730,56001,58000,2000,2000,0,"4fa4f4743bd5d30caac03b5b4808dfbe3c45babf1a719d1710f81f962b317604"
"P17-T02",30,2026095731,58001,60000,2000,2000,0,"1b078c89c54c09472742c53b72aac276091b3453e745627159fe5ff4a8f0cead"
"P17-T02",31,2026095732,60001,62000,2000,2000,0,"89f41a2306e03731b728408a025a58f409e03ce20a308d6f2524bc84668683e1"
"P17-T02",32,2026095733,62001,64000,2000,2000,0,"e38fb8b6d2964c22a5e84f64d948738b80f85ae0c2351ff686b6c2d6f4b36e56"
"P17-T02",33,2026095734,64001,66000,2000,2000,0,"24921a0ca44881b782b3e08a8d74f593a9fb0c9b0499abba0c0d6bb84e21e6cf"
"P17-T02",34,2026095735,66001,68000,2000,2000,0,"39919ec4c0436550cac72d380385319aa0d7f3365a424a39b68733a75c3ecaec"
"P17-T02",35,2026095736,68001,70000,2000,2000,0,"05cd9c187e9500185405109be195819df5ff3d9c5725c81a42ba676558244674"
"P17-T02",36,2026095737,70001,72000,2000,2000,0,"0d4e36fc7699bd3661f60e119228bb3883cfe88eb3b2150905c77598010986ac"
"P17-T02",37,2026095738,72001,74000,2000,2000,0,"d66aa93ca215fff0a6c9f53b7645bd2959438fadb2633aff552ffd46a2be4f8b"
"P17-T02",38,2026095739,74001,76000,2000,2000,0,"0e49ef8c5938cbdcb2c64866cbfc1ad4e252d8281654f736b7b1e03291b59a3a"
"P17-T02",39,2026095740,76001,78000,2000,2000,0,"f2f045d634faebd3d825eab46af38a26c8b1523513923adaf280c97b788fff85"
