"task_id","batch_id","seed","first_draw_id","last_draw_id","draws","defined_draws","invalid_fraction","H_digest_sha256"
"P17-T11",1,2026185702,1,2000,2000,2000,0,"9447f775939cb6c0c58464dd50161e6e2dc79434ea6ec42d71d97cb5f0087c3d"
"P17-T11",2,2026185703,2001,4000,2000,2000,0,"7fb9172b3cf677ecff558b803b49fd8071a0c01b9abbaf8ce41b242082da9e45"
"P17-T11",3,2026185704,4001,6000,2000,2000,0,"78085d4d03d719fdeb444cea264a7ad75f732ceea07c51c141f7f6c9045d70b6"
"P17-T11",4,2026185705,6001,8000,2000,2000,0,"c4058580b1a3c2d7031ceac854568ce295982dfda191489bc924e020d6f6bc72"
"P17-T11",5,2026185706,8001,10000,2000,2000,0,"a07f04598579ecd7a6366c665053241a87f887193a6ae09e336fac8925474f53"
"P17-T11",6,2026185707,10001,12000,2000,2000,0,"2edfd2b6243a37996d416dc6637b0e100fa0dd8bfd51e76a7742802a9ef7075a"
"P17-T11",7,2026185708,12001,14000,2000,2000,0,"d4e558911b016de3e670eb8479f8e67abae4f0ef25cb27966dbddbd0ddeb5c3d"
"P17-T11",8,2026185709,14001,16000,2000,2000,0,"6d316dec3d998933174a141838b448e00b78afeee914a9c8ede2571a30d329c2"
"P17-T11",9,2026185710,16001,18000,2000,2000,0,"2573ef81e2f58bf40ebc23af7d6a5ce95d315dd885880c7f4295d29190420285"
"P17-T11",10,2026185711,18001,20000,2000,2000,0,"49b55946757d051dac644e930e8b41af97ddaf0f3b0334f0ad21b47bd1c7be92"
"P17-T11",11,2026185712,20001,22000,2000,2000,0,"0a08f776d448616c3d4ad65342e605ddcdc96d9c89ab338b41df21724fd53567"
"P17-T11",12,2026185713,22001,24000,2000,2000,0,"3d17bc23e7b53f41028c3af3f9819ba579f6e1f6033c902d53ea672b78d5ca79"
"P17-T11",13,2026185714,24001,26000,2000,2000,0,"8f546168dcd9015788a2b9b20892631b2232abdb02d0f72e514753f278488d1f"
"P17-T11",14,2026185715,26001,28000,2000,2000,0,"6a24b65d69ade46ab760724487c553eda0ef6fc0e028a438a35564945ed5213a"
"P17-T11",15,2026185716,28001,30000,2000,2000,0,"365994e6e42edb2387b5d2ee26a84b80357dcd5f315bb1b1f3d2948475593bed"
"P17-T11",16,2026185717,30001,32000,2000,2000,0,"91ced63dc13634d7c50109d4a8d1fec25981ef17c927b1f4798e2022da8415fd"
"P17-T11",17,2026185718,32001,34000,2000,2000,0,"492d66ed67fde3283258608ddc7c7627b24178b50fc5af0f60e9faa8d2f54aa5"
"P17-T11",18,2026185719,34001,36000,2000,2000,0,"f868108b562c197643346e9289687f18b2191743f7ccce47733e3509120abb5c"
"P17-T11",19,2026185720,36001,38000,2000,2000,0,"c39fa6e5f152883481bf9d7319cbf8e179853099a4fd7e09ab8229a86a1459d7"
"P17-T11",20,2026185721,38001,40000,2000,2000,0,"634a371e2c5c0d6a607376ae4376eba444349f43d75d50a6fc9e37ad10e9171e"
"P17-T11",21,2026185722,40001,42000,2000,2000,0,"ee318155f4f43003b575c3008ba617d37b58696726b6b00f8d48dcf18ac1398a"
"P17-T11",22,2026185723,42001,44000,2000,2000,0,"bde42cbe06c2e999f065c73cac328b0485595edfacc9c9bb7cc4032c280c6a49"
"P17-T11",23,2026185724,44001,46000,2000,2000,0,"499a66c4308c4a047e08c68e9fdc299ac5d70a9fa196dd265e44fd4fc2b0fe74"
"P17-T11",24,2026185725,46001,48000,2000,2000,0,"d06223da98f9935222d5922c8386f5b75189fe26b2c763e6557459fa25e89080"
"P17-T11",25,2026185726,48001,50000,2000,2000,0,"e087af9eb2c95d1fdd9cc93a8de0b7058bf93169d5f2722498b49c8d5450d484"
"P17-T11",26,2026185727,50001,52000,2000,2000,0,"0f05d3d876f147b916245028f18b91653755fad7da4b9175bd32cda9e6f671d4"
"P17-T11",27,2026185728,52001,54000,2000,2000,0,"7d472e5e04e2fef84dda57e43d5dbafc456f27d9b727c6839bb93e3fbfaf65cf"
"P17-T11",28,2026185729,54001,56000,2000,2000,0,"ddc06daa359d24859013dae493ecb225493cafeed119d2b24b43d599dc563924"
"P17-T11",29,2026185730,56001,58000,2000,2000,0,"c537beca6e263ab0190b58e058f845e2a84f3bca1e3fe8d68dd2c24aa639ef5a"
"P17-T11",30,2026185731,58001,60000,2000,2000,0,"cf90b9a14ab37edf664aef0195b41ed85b80701304c8850f3b7316549d0ef320"
"P17-T11",31,2026185732,60001,62000,2000,2000,0,"09951fe7136ac72e7586ae291411336feb24674ab4b7b3172b54a3a6a5a86bb8"
"P17-T11",32,2026185733,62001,64000,2000,2000,0,"40a2af4b7632a4acbcc02abf808727792d1a0339f34e9dcfea24abef4412ac27"
"P17-T11",33,2026185734,64001,66000,2000,2000,0,"983bcc45722586e88b2440fca12f59ab23da22672b1be98a79c561621f5ed23e"
"P17-T11",34,2026185735,66001,68000,2000,2000,0,"7128fede1966b1e06eb86b30b0496c877915fef47fdd4f5065cbcebcf915c41d"
"P17-T11",35,2026185736,68001,70000,2000,2000,0,"86d1f32dcd21a60108f4dafb66ef675d1b2e808eab7933e196dd31914e06d9b1"
"P17-T11",36,2026185737,70001,72000,2000,2000,0,"d225d639509d5d01f15a56c7f8fb32214e9c70abb854c3c2ed2c453309ff2a31"
"P17-T11",37,2026185738,72001,74000,2000,2000,0,"8106a9f81faf2819d0c2a3b07ae357ebd63ed792d1583a8bf3a9223939d503f0"
"P17-T11",38,2026185739,74001,76000,2000,2000,0,"a6ff8c35cdcbc27bfa80534a5376e732f75c481afe4e1854320bde2d2cf31abe"
"P17-T11",39,2026185740,76001,78000,2000,2000,0,"fe5c79b6ab03c857348dbc975001a6636aa447d7afd45e73fd2b431acd39fca4"
"P17-T11",40,2026185741,78001,80000,2000,2000,0,"d32858268a2b8b836157d6ef5f9751f2256674faefea149b1d3a32cea76a2d35"
"P17-T11",41,2026185742,80001,82000,2000,2000,0,"d19faec23678274b53f2ce705859425b48bd61293e53128bfdd4a95ee0bece1e"
"P17-T11",42,2026185743,82001,84000,2000,2000,0,"5ff83ab7ce7a429e0b8bea710337d56cf83436138cea61f964d813cc56c624f4"
"P17-T11",43,2026185744,84001,86000,2000,2000,0,"edbfbe0620e7dfb4e80325d3f7fd0926107885f121776459079c5fa475fb1db7"
"P17-T11",44,2026185745,86001,88000,2000,2000,0,"838d3f1b8b308deb57084da766cd88773a54005e095d50d3bb1b89a66ee24f9c"
"P17-T11",45,2026185746,88001,90000,2000,2000,0,"55853c4ac9381db9f7e314f2e2beac52e128323af5f0972f833a83a769b05d99"
"P17-T11",46,2026185747,90001,92000,2000,2000,0,"7a3c2baea2aa089f2cd57fa98d2de9c057e9cbdbd5f42bab58628abca8eddbf3"
"P17-T11",47,2026185748,92001,94000,2000,2000,0,"21e01f8ee06de512e43cb6b863f8e96acca1b6adf1b1153db1892b34dce1f5ec"
"P17-T11",48,2026185749,94001,96000,2000,2000,0,"adede2061c4ca5bd9a47396f9b844ceb0010e37ef6efbc083908ae6e2c0a9260"
"P17-T11",49,2026185750,96001,98000,2000,2000,0,"1c594781a784441ebf54165a7e0c0d15db2689685aaa0a3e0a7d3d09d63857ac"
"P17-T11",50,2026185751,98001,99999,1999,1999,0,"40d2bbfdc760cfbdd3c0cbc328db44a8aeba6b382a35e5e811558a0eed42c28a"
