"task_id","batch_id","seed","first_draw_id","last_draw_id","draws","defined_draws","invalid_fraction","H_digest_sha256"
"P17-T07",1,2026145702,1,2000,2000,2000,0,"2cb11265ca091e936d85e6baa5318742c27145a32b7e5385c93d0953d7f77492"
"P17-T07",2,2026145703,2001,4000,2000,2000,0,"da18697cbd294c8e4720529bdd1e6459cb36b438eed2aa7168a3cf0fb3be448d"
"P17-T07",3,2026145704,4001,6000,2000,2000,0,"445545ed5e8eed6516f0f6c462166912db4a0dcf66bebb2a52e16674ba48c205"
"P17-T07",4,2026145705,6001,8000,2000,2000,0,"80efb9d9980c309c516f481b9daccf7d3a5a065be0ad4a2360fa00738450cd80"
"P17-T07",5,2026145706,8001,10000,2000,2000,0,"f36b16e772fad277d0632c493077169d226cf006b0463d7c7ff080317f8c528b"
"P17-T07",6,2026145707,10001,12000,2000,2000,0,"dd21f26da3e1be6a089b7e6195e138d1631e3a73e9a7a2e279543f3bd94210bc"
"P17-T07",7,2026145708,12001,14000,2000,2000,0,"9fdb0aa057667f4be5ec32b7e306a7fac5413265136f8d4a37774d6c75171fca"
"P17-T07",8,2026145709,14001,16000,2000,2000,0,"9764c7f32fef55583e3d8b812a2da820974def93a80bd0788a604e2e03fe6be6"
"P17-T07",9,2026145710,16001,18000,2000,2000,0,"e181459c36b02da79c706da2754476face9c17cf59665ea2b8011b70afa3e749"
"P17-T07",10,2026145711,18001,20000,2000,2000,0,"ea4fda7924373ca03ba4394d86ca59b6e3a3190688eb0511e32562c788dd5dc7"
"P17-T07",11,2026145712,20001,22000,2000,2000,0,"79be1c68699e2daa6709c48b620c9f6104f2c02c6fdbd0ed761878442a10f2cf"
"P17-T07",12,2026145713,22001,24000,2000,2000,0,"be446a670cf33f7d71855b48ef19ae772e56ce17cafe98b06ac6f67fe226e588"
"P17-T07",13,2026145714,24001,26000,2000,2000,0,"b61e2f2f0459065570e8a1506764d536fda9c195b6d79c69f30cdcfd3e367fe0"
"P17-T07",14,2026145715,26001,28000,2000,2000,0,"75819a63cefb9c562470971702335cc344f4c60cf13f6086bc353ca2353087d8"
"P17-T07",15,2026145716,28001,30000,2000,2000,0,"a3638f765a0eb1ed7fd20682104d4c0f1688f695c5d68e37ba62501c056682b5"
"P17-T07",16,2026145717,30001,32000,2000,2000,0,"19f10df112c5027254e154a8dd56ee8adf7d7c5945d7e33acc0a384e09c44372"
"P17-T07",17,2026145718,32001,34000,2000,2000,0,"a7b36cd0efc2ffd016b915a34f9247832ff571ba64d68eb3002d2dd92c4304b7"
"P17-T07",18,2026145719,34001,36000,2000,2000,0,"3967c37c1503fa6c3731f017bea8785ef4da1bbe7fce0d50f0e0b50461ef9466"
"P17-T07",19,2026145720,36001,38000,2000,2000,0,"7467b1263f5c8fdf858f51678967cd4904b6ff4a9c023bc794d1273442edc8d4"
"P17-T07",20,2026145721,38001,40000,2000,2000,0,"cd1090e920c2d93104bbad0b94b645566cec5f20937916241807f0ec54fef74e"
"P17-T07",21,2026145722,40001,42000,2000,2000,0,"34550160c2be1d5e6ff56b71197a7c9d37e4917e43624a387f5bea7bc1177636"
"P17-T07",22,2026145723,42001,44000,2000,2000,0,"9e06304a7d8d580016616f9d098efea985e44d40f584770306c2a7afd3505dcc"
"P17-T07",23,2026145724,44001,46000,2000,2000,0,"f4a30cae1aa4d502c6df1eb116d555b6606a63b2761a97971a39f2d96628bd44"
"P17-T07",24,2026145725,46001,48000,2000,2000,0,"eb78349507002c1ddba4d2760f1725bb4a16236c7593b77190400f3feda7200b"
"P17-T07",25,2026145726,48001,50000,2000,2000,0,"7e50ae41480477b1d7a622114e38e55f5e9f796fd2a12c4bc273e6802ef58d37"
"P17-T07",26,2026145727,50001,52000,2000,2000,0,"2d3aec69b0e3fee7342f88be65513de1a33674e059ce770c10da40c0b166c2fc"
"P17-T07",27,2026145728,52001,54000,2000,2000,0,"36e987180a963131f76439e3a2e79282acd4b3e76a8d8c88de0a78b70a7c9578"
"P17-T07",28,2026145729,54001,56000,2000,2000,0,"657433661a257918d39f23c5b42d81273e2d255fad606fdb443ba8254d4c230a"
"P17-T07",29,2026145730,56001,58000,2000,2000,0,"da3d5ae357b1b59c33587ab318c914e2911af691f3acae6b8eb0159ced7ff23d"
"P17-T07",30,2026145731,58001,60000,2000,2000,0,"9fea90b29c73b5df5ac33a084d12bd66d1176328928da1b95560013ef1d4443d"
"P17-T07",31,2026145732,60001,62000,2000,2000,0,"d812830f235b6bda1ad3052ecf25bc8fa2c00b8897f16ae4a6e65d489e4db61c"
"P17-T07",32,2026145733,62001,64000,2000,2000,0,"7993fef8e3e71f64bca8148875e6d64a2019f561293e6c5c36465a789ad6cef1"
"P17-T07",33,2026145734,64001,66000,2000,2000,0,"e0b5d8dc45a7b12df7ce3326e436017f7b8bd35672f31d5b3701c76a4a3aef5d"
"P17-T07",34,2026145735,66001,68000,2000,2000,0,"5c4ea9552b501c961477fae619a8163415399f3e236a69379a90238c81cf7d83"
"P17-T07",35,2026145736,68001,70000,2000,2000,0,"51eceb25f20bf8168db60c1370124104884b45ac863dd5a75dc80cfe5f4327a5"
"P17-T07",36,2026145737,70001,72000,2000,2000,0,"1eb25c262501e797ecbbca7107e2902d583e7d46297aaecc159d37cbcf1e6e0f"
