"task_id","batch_id","seed","first_draw_id","last_draw_id","draws","defined_draws","invalid_fraction","H_digest_sha256"
"P17-T10",38,2026175739,74001,76000,2000,2000,0,"c68347e77baa0fb7a9b94fd71f20e546d7607a834c009aa7d0b32e12929dae04"
"P17-T10",39,2026175740,76001,78000,2000,2000,0,"bee283164ef3f6509aae67133e24152c5c5e7e4c3b13e02f40e70c08cacbd084"
"P17-T10",40,2026175741,78001,80000,2000,2000,0,"a2b5b06681c123d846a36686d410eb4271fdd650cba47987f90b24c24bd007d1"
"P17-T10",41,2026175742,80001,82000,2000,2000,0,"9b10b4ffca991ed8b436ddc51a0e565f7eea511a9fc8af69bde142c5299a5e14"
"P17-T10",42,2026175743,82001,84000,2000,2000,0,"a464bab11596292d1a36f1f80d8cb01fa952eb1d09b9beca9a3dd9e572dc685f"
"P17-T10",43,2026175744,84001,86000,2000,2000,0,"d56f075b62375bd6cac87c1e55f793910c69f79672110a1e9fab645036bdc36e"
"P17-T10",44,2026175745,86001,88000,2000,2000,0,"de7b3f8baa30a0006a285cf320ecb444c0fee39fa0c424d03f753b2098a8acde"
"P17-T10",45,2026175746,88001,90000,2000,2000,0,"c565c4825a8c457ad22b73fac3e812ec90ac4b5ffc4c8720ff2f133698fa7df1"
"P17-T10",46,2026175747,90001,92000,2000,2000,0,"4509cbbd7ba6bf61d9c2991332802ff59afeecb5b328d3dd55960f0f4c3d8ac3"
"P17-T10",47,2026175748,92001,94000,2000,2000,0,"883478586b3558b7c816b5f1eae8cc0d970e4297da1d049f1cbe47271e19c299"
"P17-T10",48,2026175749,94001,96000,2000,2000,0,"d51009cc4355bcda5efb61db608868f804bb378ad284a0fc03302fc4285df850"
"P17-T10",49,2026175750,96001,98000,2000,2000,0,"9e5ee8fb515484d59023bd404adbefaffc26df6e82e60df79e089774d9fc91d1"
"P17-T10",50,2026175751,98001,99999,1999,1999,0,"0cf9cfd76414abfc6084e8ce7d049ef2676c09fdf9b467a2e2f7f1093856ac57"
